T_EI [°C],F_FR [L h^-1],T_CI [°C],S [g L^-1],J_e [L h^-1 m^-2],"T_CO,e [°C]"
60,400,25,140.3,0.10 ± 0.05,56.8 ± 0.1
60,1100,25,140.3,0.90 ± 0.06,55.2 ± 0.1
80,400,25,140.3,0.36 ± 0.05,75.1 ± 0.1
80,1100,25,140.3,1.90 ± 0.08,73.4 ± 0.1
70,750,20,35.1,1.76 ± 0.09,65.7 ± 0.1
70,750,20,245.5,0.34 ± 0.04,63.5 ± 0.2
70,750,30,35.1,1.46 ± 0.07,66.7 ± 0.1
70,750,30,245.5,0.11 ± 0.01,64.4 ± 0.1
60,750,25,35.1,1.19 ± 0.05,56.9 ± 0.1
60,750,25,245.5,0.04 ± 0.01,55.0 ± 0.1
80,750,25,35.1,1.99 ± 0.08,75.4 ± 0.2
80,750,25,245.5,0.42 ± 0.05,73.1 ± 0.1
70,400,20,140.3,0.38 ± 0.04,65.7 ± 0.1
70,400,30,140.3,0.11 ± 0.03,66.4 ± 0.1
70,1100,20,140.3,1.54 ± 0.10,63.6 ± 0.3
70,1100,30,140.3,1.19 ± 0.06,64.8 ± 0.1
60,750,20,140.3,0.59 ± 0.05,55.5 ± 0.1
60,750,30,140.3,0.30 ± 0.05,56.4 ± 0.1
80,750,20,140.3,1.28 ± 0.08,73.8 ± 0.1
80,750,30,140.3,0.96 ± 0.07,74.7 ± 0.1
70,400,25,35.1,0.83 ± 0.04,67.0 ± 0.1
70,400,25,245.5,0.01 ± 0.01,65.3 ± 0.1
70,1100,25,35.1,2.26 ± 0.09,65.2 ± 0.1
70,1100,25,245.5,0.68 ± 0.07,63.0 ± 0.1
70,750,25,140.3,0.77 ± 0.05,65.2 ± 0.1
70,750,25,140.3,0.81 ± 0.05,65.2 ± 0.1
70,750,25,140.3,0.79 ± 0.05,65.1 ± 0.1
